JOEL M. COHEN,Part 3 Commercial Division,"60 Centre Street, New York, NY 10007",(646) 386-4927,(646) 386-3287,Samuel A. Blaustein,Tiffany Klinger,,Eric Szkarlat,SFC-Part3-Clerk@nycourts.gov
MELISSA CRANE,Part 60 Commercial Division,"60 Centre Street, New York, NY 10007",(646) 386-4612,(646) 386-3310,Tyler D. Evans,Joshua Kelly,,Kevin Badkhshan,SFC-Part60-Clerk@nycourts.gov
JAMES D?AUGUSTE,Part 55 General IAS Part,"71 Thomas Street, New York, NY 10013",(646) 386-5698,(646) 386-3289,Larisa Blinderman Esq.,William P.A. de Wolff,,,SFC-Part55-Clerk@nycourts.gov
TANDRA DAWSON,Integrated Domestic Violence,"100 Centre Street, New York, NY 10013",(646) 386-5733,(646) 386-3868,Lydia S. Antoncic,,Hannah Reisinger,,
DENISE M. DOMINGUEZ,Part 21 City and Transit IAS Part ? Part Rules,"80 Centre Street, New York, NY 10013",(646) 386-4261,(646) 386-3738,Christine Vetter,,,,SFC-Part21-Clerk@nycourts.gov
ERIKA M. EDWARDS,Part 10,"60 Centre Street, New York, NY 10007",(646) 386-4755,(646) 386-4863,Alana Gardner,,Joshua Rodriguez,,SFC-Part10-Clerk@nycourts.gov
ARTHUR F. ENGORON,Part 37 General IAS Part,"60 Centre Street, New York, NY 10007",(646) 386-3181,(646) 386-3222,Allison R. Greenfield,Garth A. Johnston,,,
LYLE E. FRANK,Part 11 City IAS Part ? Part Rules,"80 Centre Street, New York, NY 10013",(646) 386-3112,(646) 386-3314,Diana Cruz,,Anastasia Kyriakos,,SFC-Part11-Clerk@nycourts.gov
PAUL ALLAN GOETZ,Part 47 General IAS Part ? Part Rules,"111 Centre Street, New York, NY 10013",(646) 386-4342,(646) 386-3743,Michael Najjar,,,,SFC-Part47-Clerk@nycourts.gov
SHLOMO S. HAGLER,Part 17 General IAS Part ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-5691,(646) 386-3283,Julia H. Cohen,,Abby Goldstein,,SFC-Part17-Clerk@nycourts.gov
LISA HEADLEY,Part 28 - General IAS Part,"80 Centre Street, New York, NY 10007",(646) 386-3150,(646) 386-3696,Risa R. Aggrey,,Jonathan Egalite,,SFC-Part28-Clerk@nycourts.gov
DOUGLAS E. HOFFMAN,Part 44 Matrimonial IAS Part,"60 Centre Street, New York, NY 10007",(646) 386-4795,(646) 386-3370,Alexandra Lewis-Reisen,,Delilah Chamlin,,SFC-Part44-Clerk@nycourts.gov
DEBRA JAMES,Part 59 General IAS Part - Medical Malpractice Trial Part,"60 Centre Street, New York, NY 10007",(646) 386-3352,(646) 386-3351,Zahraa M. Badat,Edward Liu,,,SFC-Part59-Clerk@nycourts.gov
TA-TANISHA D. JAMES,Part 15 Matrimonial IAS Part ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-4460,(646) 386-4462,Ashley N. Lane,,Roseanne Harris,,SFC-Part15-Clerk@nycourts.gov
FRANCIS A. KAHN III,Part 32 ? Part Rules Mortgage Foreclosure Part Mortgage Auction Part,"111 Centre Street, New York, NY 10013",(646) 386-3081,(646) 386-5607,,,,,SFC-Part32-Clerk@nycourts.gov
MICHAEL L. KATZ,Part 24 Matrimonial IAS Part ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-3103,(646) 386-3285,Jessica C. Wagner,,Minelli Manoukian,,SFC-Part24-Clerk@nycourts.gov
JOHN J. KELLEY,Part 56 Trial Part,"71 Thomas Street, New York, NY 10013",(646) 386-5318,(646) 386-5281,Lawrence A. Goldberg,Hadiatou Barry,,,SFC-Part56-Clerk@nycourts.gov
JUDY H. KIM,Part 5 City IAS Part ? Part Rules,"80 Centre Street, New York, NY 10013",(646) 386-5577,(646) 386-3374,Jared F. Kraminitz,,Joseph Orth,,SFC-Part5-Clerk@nycourts.gov
KATHY J. KING,Part 6 Medical Malpractice IAS Part ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-4388,(646) 386-3312,Deborah A. Santelmo,West Overstreet,,,SFC-Part6-Clerk@nycourts.gov
LYNN R. KOTLER,Part 8 General IAS Part ? Part Rules,"80 Centre Street, New York, NY 10013",(646) 386-3339,(646) 386-3572,Eric Wursthorn,Joshua B. Santangelo,,,SFC-Part8-Clerk@nycourts.gov
SABRINA B. KRAUS,Part 57 General IAS Part ? Part Rules,"111 Centre Street, New York, NY 10013",(646) 386-5727,(646) 386-3195,Tara Szap,,Michael Heller,,SFC-Part57-Clerk@nycourts.gov
RICHARD G. LATIN,Part 46 ? Part Rules,"71 Thomas Street, New York, NY 10013",(646) 386-4945,(646) 386-3279,Justin Dorman,Avi Rothfeld,,,SFC-Part46-Clerk@nycourts.gov
GERALD LEBOVITS,Part 7 General IAS Part ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-3074,(646) 386-3746,Mark H. Shawhan,,Rachel Miller,,SFC-Part7-Clerk@nycourts.gov
ANDREA MASLEY,Part 48 Commercial Division,"60 Centre Street, New York, NY 10007",(646) 386-4381,(646) 386-3265,Victoria Corbo,,Arshiya Sharda.,Veronika Pavlus,SFC-Part48-Clerk@nycourts.gov
JUDITH McMAHON,Part 30 Medical Malpractice IAS Part,,(646) 386-4987,(646) 386-3275,Judith Moresco,,,,SFC-Part30-Clerk@nycourts.gov
EMILY MORALES-MINERVA,Part 25 Guardianship Part,"111 Centre Street, New York, NY 10013",(646) 386-5648,(646) 386-5675,Sarah Lusk,,Jake Mulham,,SFC-Part25-Clerk@nycourts.gov
NICHOLAS MOYNE,Part 52 City IAS Part ? Part Rules,"80 Centre Street, New York, NY 10013",(646) 386-3794,(646) 386-3742,Nicholas Grafstrom,,Sarah Waldman,,SFC-Part52-Clerk@nycourts.gov
FRANK P. NERVO,Part 4 General IAS Part,"80 Centre Street, New York, NY 10013",(646) 386-5707,(646) 386-3580,David B. Collins,,,,SFC-Part4-Clerk@nycourts.gov
LOUIS L. NOCK,Part 38 General IAS Part ? Part Rules,"111 Centre Street, New York, NY 10013",(646) 386-3206,(646) 386-3235,Samuel S. Yaggy,,,,SFC-Part38-Clerk@nycourts.gov
BARRY OSTRAGER,Part 61 Commercial Division,"60 Centre Street, New York, NY 10007",(646) 386-4150,(646) 386-3169,Rose Ann Magaldi,,,France E.D. Svistovski,SFC-Part61-Clerk@nycourts.gov
PHAEDRA F. PERRY,Part 26 Guardianship IAS Part,"111 Centre Street, New York, NY 10013",(646) 386-4230,(646) 386-3308,Mark Legere,,Arlan Moore,,SFC-Part26-Clerk@nycourts.gov
W. FRANC PERRY,Mental Hygiene,"60 Centre Street, New York, NY 10007",(646) 386-3944,,Kent Mackzum,,,,
DAKOTA D. RAMSEUR,Part 34,"60 Centre Street, New York, NY 10007",(646) 386-3191,(646) 386-4370,Daniel Palmisano,,Connor M Flynn,,SFC-Part34-Clerk@nycourts.gov
ROBERT R. REED,Part 43 Commercial Division,"60 Centre Street, New York, NY 10007",(646) 386-3026,(646) 386-3238,Porsha R. Johnson,,Kelly A. McGee,,
MARY V. ROSADO,Part 33 General IAS Part ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-3196,(646) 386-3894,Christian Balodis,,,,SFC-Part33-Clerk@nycourts.gov
LORI S. SATTLER,Part 2,"60 Centre Street, New York, NY 10007",(646) 386-3819,(646) 386-3852,Lydia Devine,Alexander Frey,,,SFC-Part2-Clerk@nycourts.gov
VERNA L. SAUNDERS,Part 36 General IAS Part,"71 Thomas Street, New York, NY 10013",(646) 386-5075,(646) 386-3733,Ismael A. Peguero,,Sadat Donkor,,SFC-Part36-Clerk@nycourts.gov
JENNIFER SCHECTER,Part 54 Commercial Division,"60 Centre Street, New York, NY 10007",(646) 386-4048,(646) 386-3362,Michael Rand,,,Karen Touaf,
ERIC SCHUMACHER,Part 23 General IAS Part,"71 Thomas Street, New York, NY 10013",(646) 386-3799,(646) 386-3754,Joshua D. Demopoulos,,Alexandra Adams,,SFC-Part23-Clerk@nycourts.gov
CAROL SHARPE,Part 27 Guardianship Part,"111 Centre Street, New York, NY 10013",(646) 386-3449,(646) 386-5625,Jolene McAuley,,Stephanie Niles,,SFC-Part27-Clerk@nycourts.gov
LISA A. SOKOLOFF,Part 19 Guardianship Part,"60 Centre Street, New York, NY 10007",(646) 386-4647,(646) 386-3979,Esther Fernando,,Erik A. Schlein,,SFC-Part19-Clerk@nycourts.gov
LESLIE A. STROTH,Part 12 General IAS Part,"80 Centre Street, New York, NY 10013",(646) 386-5622,(646) 386-3273,Rebecca I. Wohl,,Shina Bharadwaja,,SFC-Part12-Clerk@nycourts.gov
J. MACHELLE SWEETING,Part 62 City Part ? Part Rules,"80 Centre Street, New York, NY 10013",(646) 386-3245,(646) 386-3274,BB Liu,,,,SFC-Part62-Clerk@nycourts.gov
ALEXANDER M. TISCH,Part 18 General IAS Part ? Part Rules,"71 Thomas Street, New York, NY 10013",(646) 386-3968,(646) 386-3472,Rena Malik,,,,SFC-Part18-Clerk@nycourts.gov
KATHLEEN WATERMAN-MARSHALL,Part 9 Matrimonial IAS Part ? Part Rules,"80 Centre Street, New York, NY 10013",(646) 386-4289,(646) 386-3848,Madeleine Robinson,,,,SFC-Part9-Clerk@nycourts.gov
